Gift,Names
Amethyst,Abigail-Clint-Dwarf-Emily
Aquamarine,Clint-Dwarf-Emily
Artichoke Dip,Clint
Autumn's Bounty,Marnie
Banana Pudding,Abigail
Battery Pack,Maru
Bean Hotpot,Demetrius
Beer,Pam-Shane
Beet,Evelyn
Blackberry Cobbler,Abigail
Blueberry Tart,Jas
Cactus Fruit,Linus-Pam-Sandy
Cauliflower,Maru
Catfish,Willy
Cheese Cauliflower,Maru
Chocolate Cake,Abigail-Evelyn-Jodi
Cloth,Emily
Coconut,Haley-Linus-Sandy
Coffee,Harvey
Complete Breakfast,Alex
Cranberry Candy,Vincent
Crispy Bass,George
Diamond,Evelyn-Jas-Kent-Krobus-Maru-Willy
Dish O' The Sea,Sandy
Duck Feather,Elliot-Leo
Eggplant Parmesan,George
Emerald,Clint-Dwarf-Emily-Penny
Escargot,Willy
Fairy Rose,Evelyn-Jas
Farmer's Lunch,Penny
